"","country","creative","rich","equality","admired","safe","newthings","rules","understanding","modesty","enjoy","free","help","success","strong_gov","exciting","properbehaviour","respected","loyal","environment","traditions","seekfun"
"39419","SE",5,2,3,2,2,5,2,5,3,3,5,5,2,2,5,2,2,5,3,2,5
"28089","IT",4,2,4,4,4,1,4,4,4,2,2,5,5,6,2,5,4,4,4,4,1
"9329","DE",4,1,6,3,6,5,6,6,4,5,6,5,2,6,1,6,6,6,5,6,5
"20987","IE",4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4
"25450","IL",4,5,6,5,6,5,6,6,4,6,6,6,6,6,2,6,6,6,6,6,6
"31782","NL",6,3,4,5,3,5,5,3,4,5,6,4,4,3,4,4,4,5,4,4,5
"26710","IT",2,1,3,2,5,5,4,3,5,4,5,4,2,6,2,1,3,5,5,6,3
"35465","PT",4,2,6,5,4,5,6,3,4,5,5,4,6,6,2,1,3,4,4,3,3
"8156","DE",5,3,2,2,5,4,4,2,4,4,6,5,2,5,2,5,4,4,5,5,2
"5386","CZ",4,3,4,4,5,5,4,4,3,5,5,4,4,5,4,4,5,5,4,5,5
"3504","BE",5,1,5,1,1,2,4,5,5,2,2,5,2,5,2,2,2,5,5,2,2
"32509","NO",5,5,5,5,2,5,2,5,3,5,6,4,5,4,5,5,5,5,4,3,6
"33624","NO",3,1,6,4,2,2,4,5,4,5,4,6,5,5,2,4,6,6,4,4,3
"16709","FR",6,1,6,2,5,5,3,5,6,4,2,6,1,5,2,6,2,5,5,2,2
"33184","NO",6,2,5,2,5,2,4,6,4,6,6,6,2,3,2,5,2,6,4,2,5
"40853","SI",5,1,6,5,6,5,5,5,5,5,6,5,5,6,5,5,5,5,5,6,5
"39458","SE",3,2,4,1,3,3,2,5,4,3,4,4,2,4,3,3,2,5,5,4,4
"15830","FR",5,2,6,2,6,4,2,6,5,1,4,6,2,6,2,6,2,6,5,4,5
"39638","SE",6,2,6,3,3,4,2,6,4,4,4,5,4,4,4,2,2,5,5,3,6
"16713","FR",2,2,6,2,3,2,4,5,5,2,2,5,1,6,2,3,1,2,6,3,2
"26698","IT",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"6574","CZ",3,2,6,3,6,4,5,5,5,3,3,4,2,6,3,6,4,6,4,5,3
"29353","LT",3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
"3277","BE",4,2,4,5,5,4,6,5,5,6,5,5,5,6,2,5,4,5,5,4,4
"14460","FI",5,3,5,5,5,4,4,5,3,4,5,5,5,5,4,3,3,6,4,5,5
"210","AT",5,4,5,5,6,3,4,4,4,3,5,4,2,6,1,4,5,6,5,3,3
"23667","IL",4,2,5,3,6,5,5,5,5,5,4,5,4,6,2,5,2,5,5,5,5
"24205","IL",5,5,5,4,4,4,4,6,5,5,6,6,5,5,1,2,1,6,6,6,6
"27704","IT",4,2,5,3,6,4,6,5,5,3,2,6,5,6,1,6,6,5,6,6,1
"28810","LT",3,2,3,3,3,2,3,3,5,3,3,3,3,5,2,3,2,3,3,2,2
"38806","SE",3,2,3,3,4,3,2,4,4,3,5,3,2,3,2,5,2,3,5,3,4
"10513","EE",5,2,3,5,6,4,3,5,3,4,6,5,2,2,3,3,4,5,6,6,5
"40052","SE",3,3,4,5,4,6,2,5,5,6,6,5,4,4,4,2,3,6,3,5,6
"5344","CZ",6,3,6,5,6,5,3,5,2,4,6,5,2,6,2,3,2,6,6,5,6
"27014","IT",5,5,5,5,5,6,6,4,4,4,4,4,4,4,4,4,5,5,5,4,4
"13198","ES",5,2,5,2,3,5,3,3,6,3,6,4,3,6,3,5,2,6,5,3,6
"40443","SI",4,3,5,5,4,4,5,6,4,5,5,5,4,6,4,3,5,5,5,4,5
"40416","SI",6,2,5,4,6,2,5,5,6,3,6,6,5,5,2,4,2,6,6,2,2
"3357","BE",3,2,5,4,5,2,5,5,5,4,5,5,3,6,2,5,4,5,5,5,4
"5104","CZ",4,4,5,4,5,3,4,5,5,3,5,5,4,5,2,6,4,4,6,6,3
"7042","CZ",5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5
"14061","FI",5,3,6,2,5,6,3,4,3,5,5,5,3,4,3,3,2,5,5,4,3
"40252","SI",5,2,6,5,6,6,6,5,6,5,4,6,5,6,4,6,5,6,6,5,5
"7491","DE",5,2,3,2,3,5,2,5,5,2,5,5,3,2,2,4,2,5,5,5,2
"28980","LT",2,2,5,3,5,2,4,4,4,3,2,2,5,5,4,2,4,5,5,5,2
"11613","EE",2,5,5,2,2,2,4,4,4,5,2,4,2,5,2,4,2,5,2,5,3
"11759","EE",5,4,6,4,5,4,5,4,5,5,6,5,5,4,5,5,5,5,5,5,4
"33727","NO",4,4,6,3,3,3,3,6,3,3,5,4,2,5,2,5,5,5,3,3,3
"1325","AT",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"15421","FI",4,4,4,4,4,4,2,5,5,4,4,4,4,5,4,4,3,5,4,4,5
"35231","PL",4,3,6,4,6,6,6,6,6,4,6,6,6,6,2,6,6,6,6,6,3
"20375","HU",5,5,4,6,4,6,2,4,4,6,6,4,6,6,6,6,3,4,6,4,5
"22012","IE",4,4,5,5,2,6,3,3,4,3,4,5,6,5,4,4,4,4,3,3,3
"31369","NL",6,2,6,5,5,5,5,5,5,3,5,5,5,5,2,5,5,5,5,5,5
"7843","DE",6,3,6,6,6,5,6,6,6,6,6,6,6,6,1,6,6,6,3,6,5
"4504","CH",6,4,6,5,6,6,2,5,6,4,6,6,4,2,5,6,6,6,6,2,4
"19456","HU",6,6,5,5,6,4,2,5,5,6,6,6,5,5,6,6,6,6,6,6,5
"8225","DE",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
"35026","PL",5,4,6,5,6,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4
"10140","EE",5,2,5,2,4,4,2,5,5,4,2,5,2,5,3,5,3,6,5,5,3
"10657","EE",6,1,5,4,4,5,1,5,6,5,5,6,3,6,2,5,1,6,6,6,3
"25732","IS",4,3,6,1,3,5,6,6,5,6,4,5,2,6,5,5,2,6,5,2,3
"5014","CH",6,4,5,4,2,3,4,6,3,6,4,5,4,4,2,5,5,6,5,3,2
"30026","LT",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4
"40026","SE",4,1,6,5,5,5,3,4,6,5,4,5,4,5,4,5,5,6,3,5,6
"5660","CZ",6,6,2,4,5,5,5,5,3,5,6,4,6,6,4,5,5,5,5,5,4
"15393","FI",1,1,6,3,6,6,6,6,4,5,6,6,4,5,3,6,4,6,5,5,5
"4615","CH",5,2,6,4,5,5,4,5,5,4,6,6,3,4,4,6,5,5,6,4,4
"27166","IT",4,3,5,3,5,5,4,5,5,3,4,5,5,5,1,5,4,4,4,5,1
"37587","RU",5,5,5,4,2,3,4,4,2,4,4,4,4,4,4,2,4,4,4,4,1
"30308","LT",6,5,5,5,6,5,5,4,2,2,6,4,6,6,4,5,5,6,5,4,2
"16151","FR",4,1,4,2,2,3,3,6,6,3,2,4,1,5,2,5,2,5,5,5,3
"26502","IT",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"13063","ES",6,3,2,6,6,3,3,6,6,5,6,6,6,6,2,6,5,5,5,5,4
"22011","IE",5,4,5,4,5,5,4,6,6,5,5,6,5,6,4,5,5,6,6,5,4
"12477","ES",5,2,5,4,4,2,2,5,5,2,5,5,3,5,2,3,3,5,5,4,2
"37919","RU",5,3,4,1,2,1,2,2,3,3,1,1,2,1,1,3,6,2,6,6,6
"24138","IL",5,4,5,6,5,4,5,6,5,6,5,4,5,5,4,5,5,4,5,6,5
"826","AT",4,2,6,3,6,4,3,6,4,4,6,5,4,5,2,3,3,6,5,4,3
"6569","CZ",6,4,6,5,6,4,6,5,6,3,6,5,5,6,2,6,5,5,6,6,2
"24724","IL",5,2,5,1,5,5,5,5,5,5,5,5,5,5,2,5,2,5,6,5,4
"15734","FR",6,1,4,5,6,6,4,5,4,5,5,6,3,6,2,4,2,6,5,2,2
"8334","DE",2,2,4,2,6,3,5,5,5,4,5,5,3,5,1,3,2,5,4,3,2
"13918","FI",6,2,5,4,3,4,4,6,4,5,4,6,4,5,3,5,5,6,6,5,4
"14933","FI",5,1,5,2,5,4,2,1,3,2,6,3,1,4,1,4,1,5,6,6,4
"28501","IT",4,3,5,5,6,3,4,4,4,3,5,5,5,6,2,4,5,5,5,6,3
"20239","HU",2,2,5,2,5,4,5,3,5,5,2,3,5,6,2,4,2,5,3,5,5
"4071","CH",6,4,5,2,6,5,2,2,5,3,6,5,4,5,2,4,5,6,5,6,3
"18506","GB",6,2,6,5,6,1,6,6,5,5,6,6,3,6,6,6,6,6,6,6,6
"7349","DE",4,2,5,4,3,4,2,4,4,5,5,4,5,2,2,4,4,5,5,3,2
"23067","IE",6,4,3,4,4,2,5,2,2,3,5,3,5,3,3,4,2,4,4,5,3
"3113","BE",5,4,3,6,3,5,2,4,2,6,6,5,5,2,4,2,5,5,4,2,5
"19220","GB",6,4,5,4,5,4,5,4,5,4,4,5,4,3,3,5,3,4,4,4,5
"38686","SE",5,2,2,3,4,3,2,3,4,3,3,4,3,3,3,4,3,3,4,4,4
"22898","IE",6,5,6,6,6,5,6,6,6,4,6,6,6,6,3,6,6,6,6,6,6
"25120","IL",4,3,6,2,5,2,6,5,4,3,6,5,2,2,2,4,2,6,6,2,2
"16894","FR",4,2,6,3,2,3,2,4,5,5,6,6,3,4,5,5,3,4,5,3,4
"36570","RU",2,5,6,2,5,2,2,5,3,2,5,5,2,2,5,2,4,5,6,5,2
"14576","FI",1,2,6,4,5,2,6,4,5,3,6,5,3,6,1,5,3,5,5,5,4
"27104","IT",4,1,4,3,6,3,6,4,5,1,5,4,4,6,2,5,5,5,6,6,1
"30686","NL",3,2,5,3,4,5,2,4,5,5,5,4,3,3,4,4,2,2,5,4,3
"25785","IS",6,4,5,3,6,3,5,5,6,6,5,5,3,6,2,5,3,6,5,2,4
"2263","BE",4,3,3,5,3,5,2,6,2,5,3,3,2,4,3,1,5,6,2,3,6
"32905","NO",2,2,6,4,5,2,6,4,4,4,4,5,2,5,1,4,4,6,5,4,4
"11560","EE",2,3,4,4,5,4,5,4,5,2,4,2,3,5,2,4,4,4,4,4,4
"16393","FR",6,1,6,1,6,2,3,4,4,1,4,6,1,5,1,6,1,6,6,6,1
"39220","SE",3,2,4,5,5,2,3,3,3,5,5,6,2,5,2,3,2,6,5,5,5
"19453","HU",5,5,5,5,5,4,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6
"19690","HU",4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4
"26218","IS",6,5,6,5,5,6,2,3,5,6,5,4,6,6,5,2,4,5,6,5,5
"27408","IT",3,1,5,5,6,5,6,6,6,4,5,5,6,6,3,5,5,6,5,5,4
"18635","GB",6,3,6,6,6,4,6,6,6,4,6,6,5,6,4,6,1,6,6,6,5
"28166","IT",3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4
"4028","CH",5,2,6,4,5,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,3
"2934","BE",5,3,4,4,2,4,3,4,5,3,5,5,5,2,2,5,3,5,5,4,4
"36439","PT",6,2,4,2,5,2,2,5,5,4,3,5,4,2,2,4,2,5,4,6,4
"16862","FR",6,2,6,4,4,5,3,6,2,6,6,5,5,2,6,5,2,5,6,1,5
"23742","IL",6,2,6,6,6,4,5,6,3,4,6,6,4,6,2,6,6,6,6,5,4
"4302","CH",5,1,6,3,4,5,2,5,5,6,6,6,2,5,6,4,4,6,5,4,4
"38233","RU",4,2,2,2,2,5,4,3,4,4,4,4,5,3,5,5,6,5,4,3,2
"30589","LT",2,3,3,2,4,2,2,2,4,2,4,3,3,5,2,3,4,3,2,3,2
"30491","LT",5,5,4,3,3,4,4,5,4,5,4,4,5,4,4,5,5,5,4,4,2
"6815","CZ",4,2,2,5,5,4,2,3,3,4,5,4,2,4,2,4,4,5,5,4,3
"11241","EE",5,6,5,6,6,4,5,4,3,4,3,4,4,4,2,4,4,6,4,1,2
"1719","AT",2,5,3,4,3,4,3,1,2,3,6,2,4,2,4,2,5,4,3,6,5
"2696","BE",5,2,5,2,5,5,2,5,5,2,5,5,2,5,1,5,1,5,5,1,1
"36713","RU",3,4,4,3,4,5,2,2,2,5,6,3,5,6,5,3,6,5,5,5,5
"8679","DE",5,3,5,6,5,5,5,5,3,6,6,5,6,6,5,4,6,6,5,5,5
"28743","IT",5,3,6,6,6,4,4,6,6,4,5,5,6,6,1,6,6,6,6,6,4
"23117","IE",5,3,5,4,6,3,4,5,6,3,4,6,4,4,2,5,3,5,5,6,4
"9141","DE",6,2,4,2,6,4,4,3,3,3,6,5,4,2,3,2,5,6,5,2,4
"28877","LT",1,6,3,3,6,3,5,3,1,2,6,3,6,6,4,6,6,4,6,6,3
"36669","RU",4,4,2,6,1,4,1,3,1,5,6,3,5,1,6,3,5,5,1,6,3
"12705","ES",4,2,6,3,5,3,5,4,5,2,4,5,2,6,1,4,3,5,5,4,2
"36546","RU",6,6,4,3,2,6,1,6,5,6,6,5,5,3,4,2,3,4,6,1,6
"35964","PT",3,1,4,1,4,1,5,4,6,1,2,6,1,2,1,4,3,5,3,5,2
"31971","NL",5,4,5,5,5,4,5,4,5,6,4,4,4,6,3,5,4,5,6,6,5
"16811","FR",4,2,6,3,3,3,1,4,5,5,5,5,2,5,2,2,3,4,4,3,3
"4938","CH",5,6,6,6,6,5,2,5,6,5,6,6,6,6,2,4,6,5,4,6,4
"16203","FR",6,2,6,2,1,6,1,6,6,6,6,6,1,3,3,6,1,6,6,4,4
"34226","PL",3,2,5,2,5,6,1,2,4,3,5,5,2,2,3,2,1,5,5,3,2
"17118","FR",5,2,5,6,5,3,3,6,2,5,4,5,6,5,3,5,5,6,3,1,4
"16242","FR",5,2,5,2,5,2,3,5,5,5,6,4,2,5,2,4,5,5,5,5,2
"30422","LT",5,4,5,4,4,5,5,4,4,4,4,4,5,4,4,5,4,3,4,4,4
"36743","RU",6,4,5,4,3,4,4,5,6,4,3,4,4,5,3,4,5,4,6,6,3
"21826","IE",3,3,5,4,6,3,5,3,3,3,6,4,3,6,1,6,6,6,5,6,3
"28107","IT",2,3,6,5,6,4,5,5,5,1,5,6,5,6,1,5,5,6,6,6,1
"16088","FR",5,2,3,4,5,2,2,3,4,3,5,5,3,3,1,5,4,6,4,5,5
"15047","FI",6,3,2,2,4,5,4,5,4,3,6,6,5,2,4,5,5,5,5,5,2
"39853","SE",5,4,4,3,2,6,2,3,3,5,5,4,3,4,6,2,2,6,5,3,6
"9577","DE",6,1,6,4,2,6,1,6,2,5,4,5,4,1,4,2,4,6,6,6,3
"12162","ES",6,3,6,6,6,6,6,4,4,4,6,6,6,5,6,6,6,6,6,6,6
"25710","IS",6,2,3,5,6,4,6,4,3,4,5,6,3,5,3,5,5,6,3,5,3
"13160","ES",4,3,6,3,5,2,4,5,6,3,3,5,4,5,3,3,5,5,5,5,4
"40007","SE",6,1,5,5,3,6,3,5,5,5,5,5,3,3,6,3,3,3,3,2,6
"28792","IT",3,1,4,4,6,3,5,4,6,3,4,6,5,6,1,6,4,5,4,5,3
"19457","HU",5,5,6,6,5,5,3,5,5,5,5,5,5,6,6,6,5,5,3,6,5
"29527","LT",2,4,5,4,2,3,5,4,5,3,2,3,2,5,5,4,2,3,4,5,2
"17431","FR",4,2,5,2,2,4,3,4,4,5,5,3,2,3,2,3,2,5,6,2,4
"29919","LT",5,6,2,3,4,5,2,3,5,5,6,3,5,5,2,3,4,4,5,2,3
"26324","IS",4,2,6,2,5,2,5,5,5,5,5,5,2,6,3,3,3,6,6,5,2
"23826","IL",5,2,6,6,6,5,5,6,4,3,6,4,6,6,2,4,2,6,4,4,4
"9842","DE",4,1,5,2,6,2,3,4,5,2,5,5,2,5,1,5,3,6,4,4,3
"29442","LT",5,2,5,3,5,2,5,5,5,3,6,5,5,6,5,5,5,5,3,5,3
"31845","NL",4,4,6,3,4,3,4,5,6,5,5,5,4,4,2,4,2,6,4,5,4
"14442","FI",5,2,5,4,5,3,3,5,2,4,5,4,3,5,3,2,2,5,6,5,4
"21586","IE",5,5,5,5,5,6,5,5,5,5,6,6,5,5,6,6,5,6,4,4,6
"8509","DE",6,2,5,4,4,6,1,6,2,6,6,6,4,6,5,3,4,6,6,4,5
"21654","IE",6,3,6,4,6,6,6,5,5,4,5,5,4,5,3,6,4,5,5,5,4
"14114","FI",5,3,5,2,5,6,4,4,4,3,6,4,2,6,3,4,4,5,4,3,4
"14690","FI",5,3,5,3,2,2,2,6,4,3,5,5,2,3,3,2,2,6,4,1,4
"32345","NO",4,2,2,2,6,2,3,4,3,4,6,4,3,6,2,5,3,5,5,6,2
"10323","EE",4,2,5,3,3,5,2,5,4,4,5,5,3,4,5,4,3,5,5,3,5
"12184","ES",5,1,5,4,5,5,2,2,5,4,5,4,3,5,2,5,2,5,4,6,4
"843","AT",6,4,6,6,6,4,5,6,4,5,6,6,5,6,3,6,6,6,6,6,4
"27679","IT",4,6,3,6,6,5,6,5,6,3,5,5,6,6,2,5,5,5,5,2,2
"35977","PT",4,2,5,4,4,4,4,4,3,3,4,5,4,4,4,4,3,5,5,5,4
"2390","BE",5,2,6,3,5,6,1,5,5,6,6,5,2,4,2,2,1,6,5,2,5
"14001","FI",4,4,5,3,6,6,4,5,5,4,3,5,3,6,5,6,3,6,6,6,5
"35938","PT",4,1,5,3,4,2,4,3,4,4,4,4,4,3,2,4,3,4,5,4,3
"4726","CH",5,3,2,2,2,6,2,4,2,6,6,6,4,2,6,2,2,6,3,3,6
"25640","IL",6,5,2,5,6,5,4,5,5,6,6,6,6,6,3,6,5,6,6,3,5
"11164","EE",5,3,3,3,3,4,5,4,2,4,5,4,3,5,4,3,3,4,4,4,4
"30074","LT",5,4,5,5,5,4,5,4,5,4,5,5,5,5,4,4,5,5,4,5,5
"2474","BE",6,1,6,4,6,3,2,6,6,2,6,6,3,5,2,6,3,6,5,6,5
"13270","ES",5,4,5,4,5,4,1,5,3,5,5,5,5,5,3,4,4,4,4,3,5
"15843","FR",5,1,5,1,4,2,1,6,4,4,3,4,2,4,2,4,2,5,4,2,3
"8935","DE",4,3,4,5,2,6,2,5,3,6,4,6,5,5,4,3,4,6,4,5,5
"16934","FR",3,1,6,2,4,3,3,5,5,6,3,5,2,3,3,4,2,5,5,1,5
"9780","DE",5,3,6,2,5,4,2,5,4,4,5,6,4,4,2,4,4,6,5,4,3
"16105","FR",6,1,5,1,6,1,1,5,6,5,6,6,6,6,1,6,1,6,6,3,6
"25541","IL",6,5,6,6,6,6,5,6,6,5,5,5,5,6,5,5,6,6,6,5,5
"41247","SI",5,4,4,4,6,5,3,5,6,5,6,6,6,6,2,5,5,5,6,5,4
"445","AT",5,4,6,4,5,4,4,4,5,4,5,5,4,5,3,5,5,6,6,5,4
"25155","IL",5,5,4,6,6,6,5,4,3,5,5,6,4,5,5,6,4,5,6,4,6
"5721","CZ",2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,2,2,2,3,2,3
"892","AT",4,6,5,6,5,5,5,5,6,5,6,6,3,5,5,6,4,6,6,4,5
"27287","IT",5,2,6,6,6,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5
"14799","FI",3,2,5,4,6,4,6,5,4,3,5,5,3,5,2,4,4,5,5,5,4
"20716","HU",3,3,4,3,5,3,3,4,5,3,5,4,4,3,4,5,5,4,4,4,5
"39378","SE",3,2,5,4,3,2,3,5,4,5,6,5,4,5,2,3,5,4,5,4,4
"3495","BE",3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4
"35142","PL",2,5,5,3,6,4,5,5,5,2,4,5,5,6,3,4,5,5,5,6,4
"19682","HU",5,5,4,4,4,5,4,4,4,4,4,5,5,4,4,5,6,6,6,6,6
"34414","PL",6,5,6,5,4,5,3,4,3,4,4,6,3,4,3,4,5,5,6,5,4
"18315","GB",5,1,6,1,6,2,1,6,5,2,6,6,3,6,1,3,1,3,5,1,3
"37839","RU",4,3,4,2,4,5,2,3,2,4,2,3,4,6,5,1,4,5,5,6,6
"40150","SI",6,3,6,5,6,6,4,5,2,5,6,5,6,4,6,2,4,6,6,2,6
"36709","RU",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"28135","IT",3,3,5,4,5,3,5,3,5,2,3,4,4,5,2,5,5,5,5,6,2
"31617","NL",4,4,5,4,3,4,5,5,4,4,5,6,5,6,4,5,4,6,5,5,5
"18221","GB",5,2,6,3,6,6,2,5,6,4,3,6,2,6,2,5,4,6,5,2,5
"24444","IL",6,2,6,6,6,6,6,6,6,6,6,5,4,6,6,6,4,6,6,6,6
"14961","FI",4,2,5,3,4,3,3,5,5,5,5,5,2,3,3,4,3,5,5,3,4
"29382","LT",3,4,4,3,3,4,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3
"37154","RU",4,4,5,4,5,5,2,5,4,6,6,4,2,5,3,3,5,5,6,5,5
"40454","SI",5,3,5,2,2,5,2,5,6,4,5,5,2,3,4,3,3,5,6,4,5
"5525","CZ",5,5,5,5,5,5,2,4,1,5,5,4,5,4,5,2,3,4,5,1,5
"10625","EE",2,1,4,2,5,2,4,2,2,2,2,4,2,2,1,2,2,2,5,5,2
"33128","NO",2,2,5,2,3,3,5,5,3,2,5,5,2,4,3,5,2,6,5,5,2
"4872","CH",5,1,4,2,2,3,4,4,4,2,5,5,1,2,1,5,3,5,6,6,1
"19369","GB",2,3,6,2,6,4,5,6,6,4,5,6,2,6,1,6,5,6,4,6,5
"15661","FR",2,1,6,6,6,5,5,3,6,4,5,6,5,4,2,6,5,6,4,3,5
"13042","ES",5,1,4,3,6,6,5,5,6,4,6,6,2,6,5,6,4,6,6,3,4
"39949","SE",3,2,6,2,2,5,3,5,5,3,4,6,1,4,5,2,2,6,6,3,4
"33475","NO",5,4,6,5,6,4,3,6,3,6,5,6,5,5,4,6,5,6,4,5,5
"15099","FI",4,3,5,3,4,2,2,4,3,2,4,3,2,2,1,4,2,3,3,1,3
"4506","CH",5,2,6,5,4,2,3,6,6,5,6,6,4,4,2,4,2,6,3,2,5
"10548","EE",6,5,4,5,6,5,4,5,4,5,5,5,4,5,3,3,3,5,5,4,4
"24181","IL",3,3,4,3,3,2,3,4,4,4,4,4,4,4,3,3,2,4,4,4,3
"37493","RU",4,4,5,4,4,4,5,5,4,5,5,4,3,4,5,5,4,6,4,5,4
"40098","SI",6,5,6,6,4,6,4,5,3,5,6,4,4,5,2,4,6,5,4,4,5
"24117","IL",4,5,3,3,4,5,6,2,3,6,6,2,3,5,2,2,5,4,6,5,4
"24078","IL",6,6,6,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,6,2,4
"5227","CZ",4,3,3,4,3,4,3,2,4,4,3,2,3,2,3,4,3,4,3,3,2
"9803","DE",3,2,5,5,2,5,2,5,5,6,6,5,3,5,6,5,2,6,4,1,5
"20154","HU",6,2,6,2,6,4,1,2,6,2,6,3,2,6,2,2,2,5,6,4,4
"29127","LT",5,6,5,5,6,5,5,5,5,5,6,5,6,5,6,5,6,6,6,6,5
"3393","BE",4,3,5,5,5,5,2,3,3,5,5,5,4,5,5,3,3,5,5,2,5
"13480","ES",5,4,6,2,6,6,3,5,6,4,5,6,2,5,2,4,2,6,3,4,5
"32812","NO",5,2,5,2,3,5,5,5,2,4,5,6,3,5,6,5,3,6,5,5,4
"4220","CH",3,2,5,6,5,5,3,6,6,6,6,4,5,5,3,6,5,6,4,3,6
"29197","LT",3,3,4,5,6,2,3,2,3,3,5,5,3,6,2,5,2,5,5,5,2
"10503","EE",3,3,3,1,6,5,3,3,6,2,3,3,4,3,2,5,5,5,5,5,2
"36141","PT",3,2,6,5,4,4,3,4,5,4,4,5,5,4,3,4,5,6,4,4,4
"10510","EE",5,2,5,2,5,2,5,5,5,5,5,5,3,6,2,5,3,5,5,5,4
"6080","CZ",5,4,5,6,6,3,4,1,1,5,6,3,4,6,2,5,5,4,2,4,6
"32205","NL",5,2,6,3,3,5,2,6,4,3,5,6,3,4,5,2,2,5,4,2,4
"34082","PL",6,2,6,4,4,5,5,5,5,4,5,5,4,4,1,5,5,6,5,6,3
"7818","DE",6,3,5,5,3,4,3,5,2,5,5,5,5,3,3,3,5,6,4,3,4
"6943","CZ",4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
"40724","SI",2,2,4,4,4,2,4,2,2,5,3,2,2,5,5,5,5,5,5,5,5
"24679","IL",6,3,4,5,6,2,5,5,4,5,6,5,5,6,3,5,5,6,4,3,3
"6589","CZ",4,5,5,4,5,5,4,3,3,5,5,4,4,6,3,4,4,5,5,4,6
"16881","FR",3,2,5,2,5,4,2,5,5,5,2,5,3,5,2,5,4,5,5,5,5
"26715","IT",4,3,4,4,4,3,4,4,5,2,4,4,4,4,3,4,4,4,6,6,3
"35634","PT",6,3,6,6,6,4,4,5,6,6,6,6,6,6,5,5,6,6,6,6,6
"9426","DE",2,5,5,6,6,3,5,5,5,5,5,4,5,6,1,5,5,5,5,6,4
"920","AT",5,2,6,4,6,1,1,6,2,5,6,5,4,6,1,2,6,6,6,4,4
"30238","LT",5,5,4,3,4,3,2,3,2,4,4,2,3,4,3,3,4,4,3,3,4
"41229","SI",6,2,6,4,5,6,2,5,6,4,6,5,4,2,4,5,1,5,5,2,5
"38922","SE",2,2,4,3,2,4,3,4,2,5,5,5,3,2,3,2,4,5,2,2,5
"27559","IT",3,3,2,4,4,2,4,5,2,3,5,2,3,4,2,5,5,3,5,5,3
"693","AT",3,4,4,4,3,4,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3
"38422","RU",3,5,4,4,6,4,3,4,6,4,5,4,5,6,2,6,5,5,6,6,4
"4937","CH",6,4,6,5,6,3,2,6,5,5,5,5,5,5,2,3,5,5,5,3,2
"16298","FR",4,2,6,3,4,2,4,4,4,3,3,5,2,4,1,6,2,3,6,1,2
"10397","EE",5,3,6,4,6,3,2,4,2,5,4,5,3,3,2,3,3,5,6,3,2
"25411","IL",5,2,6,5,6,3,5,5,6,4,5,6,5,6,2,5,5,6,5,5,4
"28281","IT",3,3,5,3,5,4,5,6,6,3,4,6,5,6,2,4,5,5,6,6,2
"15089","FI",3,2,5,3,2,5,5,6,5,5,6,5,4,6,5,5,4,6,6,4,5
"27210","IT",5,4,4,6,6,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5
"15482","FI",3,5,6,1,4,3,5,4,6,4,5,3,2,6,3,5,3,5,4,5,3
"3149","BE",6,4,6,4,4,4,2,5,6,5,6,3,3,4,5,6,4,5,6,2,5
"4264","CH",3,2,5,5,6,3,3,5,4,3,5,5,3,5,2,4,5,5,6,3,3
"2833","BE",5,2,4,6,4,3,5,6,4,5,6,6,4,4,4,6,4,6,5,5,5
"22204","IE",3,3,5,5,5,5,3,5,5,3,5,5,4,2,4,5,5,5,5,4,4
"22257","IE",5,2,5,2,5,2,2,5,5,5,5,5,2,5,1,5,2,5,5,5,5
"22815","IE",2,2,6,2,6,3,4,4,4,2,6,6,2,5,2,2,4,6,2,2,2
"40809","SI",5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5
"36331","PT",6,2,6,5,2,5,4,5,2,4,6,6,5,4,4,3,2,6,6,2,5
"25493","IL",3,2,3,2,5,3,5,4,5,2,4,4,3,5,1,2,4,4,5,6,3
"25891","IS",5,3,6,5,5,5,3,4,3,6,4,5,5,5,5,4,3,6,5,5,4
